Timestamp,MPa Pressure,mm Displacement
35712,0.32441348973607054,22.400000000000002
35714,0.3427419354838711,22.400000000000002
35716,0.3427419354838711,22.400000000000002
35718,0.32441348973607054,22.400000000000002
35720,0.32441348973607054,22.400000000000002
35722,0.28775659824046895,22.400000000000002
35724,0.28775659824046895,22.400000000000002
35726,0.28775659824046895,22.400000000000002
35728,0.32441348973607054,22.400000000000002
35730,0.32441348973607054,22.400000000000002
35732,0.32441348973607054,22.400000000000002
35734,0.32441348973607054,22.400000000000002
35736,0.3060850439882695,22.400000000000002
35738,0.2694281524926684,22.400000000000002
35740,0.2694281524926684,22.400000000000002
35742,0.28775659824046895,22.400000000000002
35744,0.3060850439882695,22.400000000000002
35746,0.32441348973607054,22.400000000000002
35748,0.32441348973607054,22.400000000000002
35750,0.32441348973607054,22.400000000000002
35752,0.3060850439882695,22.400000000000002
35755,0.2694281524926684,22.400000000000002
35756,0.28775659824046895,22.400000000000002
35758,0.2694281524926684,22.400000000000002
35760,0.2694281524926684,22.400000000000002
35762,0.28775659824046895,22.400000000000002
35764,0.32441348973607054,22.400000000000002
35766,0.3060850439882695,22.400000000000002
35768,0.28775659824046895,22.400000000000002
35770,0.28775659824046895,22.400000000000002
35772,0.2694281524926684,22.400000000000002
35774,0.2694281524926684,22.400000000000002
35776,0.2694281524926684,22.400000000000002
35778,0.28775659824046895,22.400000000000002
35780,0.32441348973607054,22.400000000000002
35782,0.32441348973607054,22.400000000000002
35784,0.3060850439882695,22.400000000000002
35786,0.28775659824046895,22.400000000000002
35788,0.2694281524926684,22.400000000000002
35790,0.2694281524926684,22.400000000000002
35792,0.2694281524926684,22.400000000000002
35794,0.28775659824046895,22.400000000000002
35796,0.32441348973607054,22.400000000000002
35798,0.32441348973607054,22.400000000000002
35800,0.3060850439882695,22.400000000000002
35802,0.3060850439882695,22.400000000000002
35804,0.2694281524926684,22.400000000000002
35806,0.2510997067448678,22.400000000000002
35808,0.2510997067448678,22.400000000000002
35810,0.28775659824046895,22.400000000000002
35812,0.3060850439882695,22.400000000000002
35814,0.3060850439882695,22.400000000000002
35816,0.3060850439882695,22.400000000000002
35818,0.28775659824046895,22.400000000000002
35820,0.2694281524926684,22.400000000000002
35822,0.2510997067448678,22.400000000000002
35824,0.2694281524926684,22.400000000000002
35826,0.2694281524926684,22.400000000000002
35828,0.28775659824046895,22.400000000000002
35830,0.3060850439882695,22.400000000000002
35832,0.3060850439882695,22.400000000000002
35834,0.28775659824046895,22.400000000000002
35836,0.28775659824046895,22.400000000000002
35838,0.2510997067448678,22.400000000000002
35840,0.2694281524926684,22.400000000000002
35842,0.2510997067448678,22.400000000000002
35844,0.2694281524926684,22.400000000000002
35846,0.3060850439882695,22.400000000000002
35848,0.3060850439882695,22.400000000000002
35850,0.3060850439882695,22.400000000000002
35852,0.28775659824046895,22.400000000000002
35854,0.28775659824046895,22.400000000000002
35856,0.2510997067448678,22.400000000000002
35858,0.2510997067448678,22.400000000000002
35860,0.2510997067448678,22.400000000000002
35862,0.28775659824046895,22.400000000000002
35864,0.3060850439882695,22.400000000000002
35866,0.3060850439882695,22.400000000000002
35868,0.3060850439882695,22.400000000000002
35870,0.2694281524926684,22.400000000000002
35872,0.2510997067448678,22.400000000000002
35874,0.2510997067448678,22.400000000000002
35876,0.2510997067448678,22.400000000000002
35878,0.28775659824046895,22.400000000000002
35880,0.3060850439882695,22.400000000000002
35883,0.3060850439882695,22.400000000000002
35884,0.3060850439882695,22.400000000000002
35886,0.28775659824046895,22.400000000000002
35888,0.2510997067448678,22.400000000000002
35890,0.23277126099706724,22.400000000000002
35892,0.2694281524926684,22.400000000000002
35894,0.2694281524926684,22.400000000000002
35896,0.28775659824046895,22.400000000000002
35898,0.3060850439882695,22.400000000000002
35900,0.28775659824046895,22.400000000000002
35902,0.2694281524926684,22.400000000000002
35904,0.2694281524926684,22.400000000000002
35906,0.23277126099706724,22.400000000000002
35908,0.2510997067448678,22.400000000000002
35910,0.2694281524926684,22.400000000000002
35912,0.2694281524926684,22.400000000000002
35914,0.3060850439882695,22.400000000000002
35916,0.3060850439882695,22.400000000000002
35918,0.3060850439882695,22.400000000000002
35920,0.28775659824046895,22.400000000000002
35922,0.2510997067448678,22.400000000000002
35924,0.2510997067448678,22.400000000000002
35926,0.2510997067448678,22.400000000000002
35928,0.28775659824046895,22.400000000000002
35930,0.3060850439882695,22.400000000000002
35932,0.28775659824046895,22.400000000000002
35934,0.28775659824046895,22.400000000000002
35936,0.2694281524926684,22.400000000000002
35938,0.2510997067448678,22.400000000000002
35940,0.2510997067448678,22.400000000000002
35942,0.23277126099706724,22.400000000000002
35944,0.2694281524926684,22.400000000000002
35946,0.28775659824046895,22.400000000000002
35948,0.3060850439882695,22.400000000000002
35950,0.3060850439882695,22.400000000000002
35952,0.2694281524926684,22.400000000000002
35954,0.2510997067448678,22.400000000000002
35956,0.2510997067448678,22.400000000000002
35958,0.23277126099706724,22.400000000000002
35960,0.2510997067448678,22.400000000000002
35962,0.28775659824046895,22.400000000000002
35964,0.28775659824046895,22.400000000000002
35966,0.28775659824046895,22.400000000000002
35968,0.28775659824046895,22.400000000000002
35970,0.2694281524926684,22.400000000000002
35972,0.2510997067448678,22.400000000000002
35974,0.23277126099706724,22.400000000000002
35976,0.2510997067448678,22.400000000000002
35978,0.2694281524926684,22.400000000000002
35980,0.28775659824046895,22.400000000000002
35982,0.28775659824046895,22.400000000000002
35984,0.28775659824046895,22.400000000000002
35986,0.2694281524926684,22.400000000000002
35988,0.23277126099706724,22.400000000000002
35990,0.21444281524926667,22.400000000000002
35992,0.23277126099706724,22.400000000000002
35994,0.2510997067448678,22.400000000000002
35996,0.2694281524926684,22.400000000000002
35998,0.28775659824046895,22.400000000000002
36000,0.28775659824046895,22.400000000000002
36002,0.2694281524926684,22.400000000000002
36004,0.23277126099706724,22.400000000000002
36006,0.21444281524926667,22.400000000000002
36008,0.21444281524926667,22.400000000000002
36011,0.2510997067448678,22.400000000000002
36012,0.2694281524926684,22.400000000000002
36014,0.28775659824046895,22.400000000000002
36016,0.28775659824046895,22.400000000000002
36018,0.2694281524926684,22.400000000000002
36020,0.2510997067448678,22.400000000000002
36022,0.2510997067448678,22.400000000000002
36024,0.21444281524926667,22.400000000000002
36026,0.23277126099706724,22.400000000000002
36028,0.2510997067448678,22.400000000000002
36030,0.3060850439882695,22.400000000000002
