Timestamp,,MPa Pressure,,,,mm Displacement
38640.00,0.37,0.086143695,0.504032258,0.98973607,1.759530792,0
38642.00,0.37,0.104472141,0.522360704,1.008064516,1.777859238,0
38644.00,0.38,0.104472141,0.504032258,1.008064516,1.759530792,0
38646.00,0.38,0.104472141,0.504032258,0.98973607,1.741202346,0
38648.00,0.38,0.104472141,0.485703812,0.971407625,1.7228739,0
38650.00,0.38,0.104472141,0.485703812,0.953079179,1.704545455,0
38652.00,0.38,0.086143695,0.485703812,0.879765396,1.686217009,0
38654.00,0.39,0.104472141,0.504032258,0.86143695,1.686217009,0
38656.00,0.39,0.086143695,0.485703812,0.824780059,1.667888563,0
38658.00,0.39,0.104472141,0.485703812,0.806451613,1.667888563,0
38660.00,0.39,0.104472141,0.467375367,0.769794721,1.7228739,0
38662.00,0.39,0.104472141,0.394061584,0.769794721,1.759530792,0
38664.00,0.40,0.086143695,0.357404692,0.751466276,1.796187683,0
38666.00,0.40,0.086143695,0.339076246,0.751466276,1.832844575,0
38668.00,0.40,0.086143695,0.320747801,0.751466276,1.869501466,0.025
38670.00,0.40,0.031158358,0.302419355,0.751466276,1.906158358,0.025
38672.00,0.40,0.067815249,0.375733138,0.806451613,1.979472141,0.025
38674.00,0.41,0.067815249,0.394061584,0.824780059,2.016129032,0.025
38676.00,0.41,0.067815249,0.412390029,0.843108504,2.052785924,0.025
38678.00,0.41,0.067815249,0.430718475,0.86143695,2.089442815,0.025
38680.00,0.41,0.104472141,0.449046921,0.953079179,2.126099707,0.025
38682.00,0.41,0.086143695,0.430718475,0.98973607,2.107771261,0.025
38684.00,0.42,0.086143695,0.430718475,1.044721408,2.126099707,0.025
38686.00,0.42,0.086143695,0.430718475,1.081378299,2.144428152,0.025
38688.00,0.42,0.086143695,0.430718475,1.118035191,2.162756598,0.025
38690.00,0.42,0.086143695,0.504032258,1.154692082,2.181085044,0.025
38692.00,0.42,0.086143695,0.559017595,1.173020528,2.19941349,0.025
38694.00,0.43,0.086143695,0.614002933,1.191348974,2.217741935,0.025
38696.00,0.43,0.086143695,0.650659824,1.209677419,2.236070381,0.025
38699.00,0.43,0.159457478,0.687316716,1.228005865,2.236070381,0.025
38700.00,0.43,0.141129032,0.650659824,1.173020528,2.181085044,0.025
38702.00,0.43,0.141129032,0.614002933,1.118035191,2.126099707,0.025
38704.00,0.44,0.122800587,0.577346041,1.081378299,2.07111437,0.025
38706.00,0.44,0.122800587,0.559017595,1.063049853,2.034457478,0.025
38708.00,0.44,0.122800587,0.54068915,1.044721408,2.016129032,0.025
38710.00,0.44,0.104472141,0.522360704,1.026392962,1.997800587,0.025
38712.00,0.44,0.104472141,0.504032258,1.026392962,1.997800587,0.025
38714.00,0.45,0.104472141,0.504032258,1.026392962,1.997800587,0.025
38716.00,0.45,0.104472141,0.504032258,1.026392962,1.997800587,0.025
38718.00,0.45,0.104472141,0.504032258,1.008064516,1.997800587,0.025
